snap(-55,-51,-46)
sky(102,101,115)
fog(115,141,154)
clouds(255,255,255,10,-843)
ground(150,150,150)
texture(0,0,0,20)
fadefrom(8000)
density(4)
mountains(95630)
nlaps(3)
lightson()

name(A Cold World)

set(48,0,0,0)p
set(15,0,5600,0)
set(15,0,11200,0)
set(35,0,8115,0)pr
set(16,0,16800,0)p
set(15,0,22400,0)p
set(15,0,28000,0)
set(17,0,32550,0)
chk(42,0,30800,0)r
set(15,4550,32550,-90)p
set(16,10150,32550,-90)p
set(15,15750,32550,-90)
set(33,14000,32550,-90)pr
set(15,21350,32550,-90)p
set(15,26950,32550,-90)p
set(17,31500,32550,180)
chk(42,29750,32550,90)r
set(44,31500,37100,180)p
set(43,31500,42700,180)p
set(44,31500,48300,0)p
set(17,31500,52850,-90)pt
set(16,26950,52850,90)p
set(15,21350,52850,90)
chk(42,21310,52850,90)r
set(17,16800,52850,0)pt
set(20,16800,48300,180)p
set(10,16800,42700,180)p
set(23,16800,38200,0)
set(10,16800,25900,180)
set(10,16800,23340,0)
set(37,16800,23100,180)
set(10,16800,17740,0)p
set(10,16800,12140,0)
set(10,16800,6540,0)
set(32,16450,8952,180)pr
set(10,16800,940,0)p
set(10,16800,0,0)p
set(14,16800,-4550,90)pt
set(10,21350,-4550,90)
chk(40,21150,-4550,90)r
set(10,22450,-4550,90)p
set(10,33070,-4550,-90)p
set(14,37620,-4550,180)pt
set(10,37620,0,180)p
set(10,37620,5600,180)p
set(10,37620,11200,180)p
set(10,37620,17740,180)p
set(23,37620,22521,180)
set(15,37620,31500,180)p
fix(41,37620,25990,-1500,0)
set(17,37620,26950,180)pt
set(15,33070,26950,90)p
set(15,31550,26950,90)p
set(17,27000,26950,0)pt
set(44,27000,22400,0)p
set(43,27000,16800,180)
set(44,27000,11200,180)
set(34,27000,13146,0)pr
set(20,27000,5600,180)p
set(10,27000,0,180)p
set(14,27000,-4550,180)pt
set(23,31780,-4550,-90)p
set(10,37620,12140,180)p
set(38,37620,10500,180)
set(38,37620,12500,180)
set(38,37620,14500,180)
set(10,37620,19721,180)
set(26,37620,23348,0)pr
set(38,37620,18421,180)
set(38,37620,16421,180)
set(44,37620,37100,180)p
set(43,37620,40140,180)p
set(43,37620,45740,180)p
set(44,37620,51340,0)p
set(15,37620,54950,0)p
set(17,37620,59500,-90)
chk(42,37620,57750,0)r
set(15,33070,59500,90)p
set(15,27470,59500,90)
set(33,26350,59500,90)pr
set(15,21870,59500,90)
set(33,21950,59500,90)pr
set(15,16270,59500,90)
set(33,17425,59500,90)pr
set(15,11090,59500,-90)p
set(17,6540,59500,0)
chk(42,8290,59500,90)r
set(20,6540,54950,180)p
set(12,5020,49320,-30)p
set(10,3500,43690,0)p
set(10,3500,40912,180)
set(23,3500,38112,0)
set(26,3500,37512,180)pr
set(10,3500,24568,180)
set(10,3500,21290,0)p
set(37,3500,23100,180)
set(22,3500,17930,0)p
set(18,3500,14570,0)p
set(18,3500,11200,0)p
set(21,3500,5600,0)p
set(15,3500,0,180)p
set(17,3500,-4550,180)
chk(42,1750,-4550,90)r
set(17,0,-4550,90)pt
set(15,10083,1443,180)
set(15,10083,7043,180)
fix(41,10083,13755,-2250,0)
set(43,10083,13516,0)
set(44,10083,19116,0)
set(34,10083,18307,0)
set(15,10083,24716,180)
set(24,10083,27516,0)
set(23,16800,27400,180)
set(28,16800,26536,180)pr
set(10,16800,41000,180)
set(26,16800,37600,180)pr
set(44,10083,7916,180)
set(34,10083,8852,0)
set(24,10083,-484,180)
set(23,3500,27368,180)
set(28,3500,26536,180)pr

maxl(15,-5113,-6065)
maxb(10,-8465,-2713)
maxr(15,42886,-6065)
maxt(10,63534,-2713)
